name,age,nationality,bike_number,manufacturer,team,team_status
Javier Ruiz,28,Spain,26,Ducati,Razor Racing,satellite
Sebastian Aginaza,23,Spain,88,Ducati,Razor Racing,satellite
Davide Greco,31,Italy,77,Triumph,Triumph Factory Racing,factory
Gabriel Silva,23,Brazil,64,Triumph,Triumph Factory Racing,factory
Dwi Gunawan,21,Indonesia,32,BMW,Falcon Racing,satellite
Manuel Navarro,25,Spain,35,BMW,Falcon Racing,satellite
Leon Schäfer,25,Germany,62,BMW,BMW Factory Racing,factory
Pablo Rodríguez,24,Spain,52,BMW,BMW Factory Racing,factory
Lucas Almeida,20,Brazil,57,Honda,Inferno Factory,satellite
Victor Burgos,31,Spain,10,Honda,Inferno Factory,satellite
Nathan Stewart,28,United Kingdom,90,Ducati,Ducati Factory Racing,factory
Mehmet Terzioğlu,24,Turkey,91,Ducati,Ducati Factory Racing,factory
Niklas Hoffmann,27,Germany,31,Suzuki,Suzuki Factory Racing,factory
João Sousa,19,Portugal,76,Suzuki,Suzuki Factory Racing,factory
Lorenzo Russo,30,Italy,44,Yamaha,Yamaha Factory Racing,factory
Oliver Wilson,30,United Kingdom,65,Yamaha,Yamaha Factory Racing,factory
Luca Ferrari,25,Italy,81,Yamaha,Storm Riders,satellite
Juan Francisco Valdés,28,Mexico,51,Yamaha,Storm Riders,satellite
Petros Georgiou,28,Greece,7,Honda,Honda Factory Racing,factory
Matteo Esposito,29,Italy,19,Honda,Honda Factory Racing,factory
Marcos Sánchez,23,Spain,41,Triumph,Phoenix Motorsport,satellite
Francesco Carelli,20,Italy,12,Triumph,Phoenix Motorsport,satellite
Kaito Sato,28,Japan,20,Kawasaki,Kawasaki Factory Racing,factory
Daniel Vaquero,26,Spain,63,Kawasaki,Kawasaki Factory Racing,factory
