name,age,nationality,bike_number,manufacturer,team,team_status,rider_braking,rider_cornering,aggression,tyre_management,wet_performance,consistency,top_speed,acceleration,bike_braking,bike_cornering,stability
Javier Ruiz,28,Spain,26,Ducati,Razor Racing,satellite,79,83,99,93,93,99,92,86,86,85,85
Sebastian Aginaza,23,Spain,88,Ducati,Razor Racing,satellite,96,81,91,76,71,75,92,86,86,85,85
Davide Greco,31,Italy,77,Triumph,Triumph Factory Racing,factory,79,86,70,87,77,99,77,78,79,75,77
Gabriel Silva,23,Brazil,64,Triumph,Triumph Factory Racing,factory,79,84,70,92,93,76,77,78,79,75,77
Dwi Gunawan,21,Indonesia,32,BMW,Falcon Racing,satellite,96,84,72,71,86,81,83,83,68,81,78
Manuel Navarro,25,Spain,35,BMW,Falcon Racing,satellite,93,88,84,91,80,92,83,83,68,81,78
Leon Schäfer,25,Germany,62,BMW,BMW Factory Racing,factory,75,84,76,78,81,82,88,88,73,86,83
Pablo Rodríguez,24,Spain,52,BMW,BMW Factory Racing,factory,83,78,80,81,87,80,88,88,73,86,83
Lucas Almeida,20,Brazil,57,Honda,Inferno Factory,satellite,75,82,83,71,71,77,80,84,73,80,83
Victor Burgos,31,Spain,10,Honda,Inferno Factory,satellite,77,76,89,72,86,81,80,84,73,80,83
Nathan Stewart,28,United Kingdom,90,Ducati,Ducati Factory Racing,factory,76,87,76,98,73,95,97,91,91,90,90
Mehmet Terzioğlu,24,Turkey,91,Ducati,Ducati Factory Racing,factory,86,85,86,84,71,76,97,91,91,90,90
Niklas Hoffmann,27,Germany,31,Suzuki,Suzuki Factory Racing,factory,95,88,82,95,80,83,87,89,85,94,91
João Sousa,19,Portugal,76,Suzuki,Suzuki Factory Racing,factory,77,74,96,93,83,88,87,89,85,94,91
Lorenzo Russo,30,Italy,44,Yamaha,Yamaha Factory Racing,factory,96,84,85,95,94,77,80,81,90,93,88
Oliver Wilson,30,United Kingdom,65,Yamaha,Yamaha Factory Racing,factory,75,79,72,94,98,75,80,81,90,93,88
Luca Ferrari,25,Italy,81,Yamaha,Storm Riders,satellite,75,75,97,80,89,91,75,76,85,88,83
Juan Francisco Valdés,28,Mexico,51,Yamaha,Storm Riders,satellite,85,86,80,77,98,92,75,76,85,88,83
Petros Georgiou,28,Greece,7,Honda,Honda Factory Racing,factory,88,83,79,74,76,76,85,89,78,85,88
Matteo Esposito,29,Italy,19,Honda,Honda Factory Racing,factory,96,83,89,76,86,96,85,89,78,85,88
Marcos Sánchez,23,Spain,41,Triumph,Phoenix Motorsport,satellite,74,90,90,80,98,79,72,73,74,70,72
Francesco Carelli,20,Italy,12,Triumph,Phoenix Motorsport,satellite,74,83,99,98,76,91,72,73,74,70,72
Kaito Sato,28,Japan,20,Kawasaki,Kawasaki Factory Racing,factory,97,78,91,87,88,81,86,89,89,88,93
Daniel Vaquero,26,Spain,63,Kawasaki,Kawasaki Factory Racing,factory,80,87,72,86,78,80,86,89,89,88,93
